id, Blood_Bank_Name, State, District, City,Pincode, Mobile, Email,Name, Qualification , Category, Blood_Component_Available, Apheresis, Service_Time, Date_License_Obtained, Latitude, Longitude
1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,744104,9434266561,NULL,Dr.Ganesh Samaddar,NULL,Government,YES,NO,24X7,14.6.1996,11.675442,92.747338
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,744103,8001452200,NULL,Dr.Smiriti Mathur,"MBBS, MD (Pathology)",Government,NO,NO,24X7,14.06.1996,11.649693,92.717418
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,744104,9474247585,pillarbloodbank2016@gmail.com,Dr. Sr. Cross Mary,"MBBS, MD (Medicine)",Charity,NO,NO,24X7,08.09.2010,11.653229,92.730714
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,AnaNTAPUR,Anantapur,515002,9441192365,NULL,Dr.G. Parvathi & Dr.G. Ramanjaneyulu NULLidu,"MBBS, MD, DCP",Charity,YES,NO,24x7,22.11.2005,14.654936,77.609915
5,Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Anantapur,515001,9866695858,bloodbankgghatp@gmail.com,Dr. Shiva kumar & Dr. SwapNULL ,"MBBS, MD (Pathology)",Government,YES,NO,24x7,28.01.1997,14.671459,77.596684
6,Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Anantapur,515001,Dist.Secretary 9866023293,ircsbloodbank.aNULLntapur@gmail.com,NULL,NULL,Charity,YES,NO,24x7,NULL,14.681888,77.600591
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,515661,9493268861,NULL,Dr. HariharaNULLdha Sharma,MD (Pathology),Charity,YES,NO,24x7,28.08.2003,14.652907,77.618826
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,515801,9701374501,vijayasribloodbankvja @gmail.com,NULL,NULL,Government,NO,NO,24x7,28.01.1997,15.172889,77.366103
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,515201,NULL,ircshup@gmail.com,Dr. M. Satyam,MBBS,Charity,NO,NO,24x7,07.04.2011,13.832533,77.492214
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,515591,9989738689,kadiriircs@gmail.com,"Dr. G. P. Subbrayudu	","MBBS, Diploma in Dermatology",Government,NO,NO,24x7,"16.07.2008	",14.113089,78.157366
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,515134,9490360321,saikiran_ptp@yahoo.co.in,Dr. Sai Kiran,MBBS,Government,NULL,NULL,24x7,NULL,14.151889,77.77685
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,517001,9849229482,bloodbankctr1@gmail.com,Dr. K. Babu Rajendra Prasad,MBBS MD (Dermatology),Government,YES,NO,24x7,27.01.1997,13.217176,79.100329
13,Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,517001,NULL,indian red cross society indian red corss society ,NULL,NULL,Charity,YES,NO,24x7,NULL,13.217176,79.100329
14,M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,517001,9849229482,ircschittoor@gmail.com,"Dr. M. V. NULLrayaNULL Reddy	","MBBS, DO",Charity,NO,NO,24x7,16.12.2002,13.21698,79.100764
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,517425,9391833741,pathpesimsr@gmail.com,Dr. B. M. Prasanth ,"MBBS, MD (Pathology)",Private,YES,NO,24X7,25.06.2003,12.791223,78.363897
16,Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli,517325,NULL,  ircsbbmpl2009@gmail.com,NULL,NULL,Charity,YES,NO,24x7,NULL,13.217176,79.100329
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madanapalli,517325,9440580272, ircsbbmpl2009@gmail.com,Dr. P. RadhakrishNULL Reddy,MBBS,Government,NO,NO,24X7,22.04.2009,13.556927,78.50085
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,517507,9490651605,suresh.bandapalli@gmail.com,NULL,NULL,Charity,NULL,NULL,24x7,NULL,13.677292,79.3487
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,517502,NULL,modelbloodbanktpt2010@gmail.com,Dr. L.KrishNULL,"MBBS, MD (Pathology)",Government,YES,NO,24x7,12.09.2011,13.644382,79.407003
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,517507,NULL,svimshosp ,NULL,NULL,Charity,NULL,NULL,24x7,NULL,13.637934,79.403917
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,517507,9949190197,supdtgmhtirupati@yahoo.com,NULL,NULL,Government,NO,NO,24x7,NULL,13.639418,79.409372
22, TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,517501,9849099750,ttdcentralhospital@gmail.com,"Dr. J. Padmaja, Dr. R. V. S. Muralidhar ",MBBS,Charity,NO,NO,24x7,"07.07.1997	",13.642148,79.421067
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,517501,9246999571,svsctbloodbank@gmail.com,NULL,NULL,Charity,YES,YES,24 hrs,NULL,0,0
24,Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,533201,9989106236,bloodbankahamp@gmail.com,Dr. G. KARNULLL RAJU,NULL,Government,NO,NO,24x7,NULL,16.587432,82.008431
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,533201,9949993495,Principal07kims@yahoo.co.in,"Dr. E. Sanjeev Rao, Dr. P. Subba Rao	","B.Sc, MBBS, MD (Pathologist), ",Charity,YES,NO,24x7,"27.05.2004			",16.592169,82.024025
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,533201,"09505152234, 09491219991",NULL,"Dr. G. KarNULLl Raju		","MBBS, DLO",Government,NO,NO,24x7,28.08.2006,16.575367,81.998101
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,533001,9390207027,bloodbankgghkkd@gmail.com,Dr. K. Satyavani,NULL,Charity,YES,NULL,24x7,NULL,16.955537,82.22748
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,533004,9848071868,nraopydah@yahoo.co.in,"Dr. NULLgeswar Rao				","MBBS, DCP",Charity,YES,YES,24x7,02.09.2003 ,16.989065,82.247465
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,,533001,9494673434,NULL,Dr. P. Kamaraju,MBBS,Charity,yes,NO,24x7,"07.03.2001	",0,0
30,District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,533101,9849520969,govtbloodbank.rjy@gmail.com,NULL,NULL,NULL,NULL,,24x7,NULL,17.019708,81.791631
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,533296,NULL,NULL,NULL,NULL,Private,YES,NO,24 Hours,NULL,0,0
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,533103,NULL,NULL,"Dr. M. C. Ramesh	",MBBS,Private,NO,NO,"24x7			",21.01.1992,0,0
